
	D.4.2.M Pneumonektomie bei Bronchialkarzinom, Mortalität // Pneumonectomie en cas de carcinome bronchique, mortalité // Pneumonectomia in caso di carcinoma bronchiale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	10	1	1	7	0.1428571	
	2008	10	2	1	4	0.25	
	2008	11	1	0	8	0	
	2008	11	2	0	5	0	
	2008	12	1	0	22	0	
	2008	12	2	1	8	0.125	
	2008	13	1	1	28	0.03571429	
	2008	13	2	1	6	0.1666667	
	2008	14	1	1	17	0.05882353	
	2008	14	2	0	11	0	
	2008	15	1	2	11	0.1818182	
	2008	15	2	0	4	0	
	2008	16	1	1	5	0.2	
	2008	16	2	0	4	0	
	2008	17	1	0	3	0	
	2008	17	2	0	4	0	
	2009	6	1	0	1	0	
	2009	8	1	0	1	0	
	2009	8	2	0	1	0	
	2009	9	1	0	2	0	
	2009	9	2	0	1	0	
	2009	10	1	0	1	0	
	2009	10	2	0	1	0	
	2009	11	1	0	10	0	
	2009	11	2	0	4	0	
	2009	12	1	1	10	0.1	
	2009	12	2	0	3	0	
	2009	13	1	1	13	0.07692308	
	2009	13	2	0	6	0	
	2009	14	1	1	13	0.07692308	
	2009	14	2	0	4	0	
	2009	15	1	0	2	0	
	2009	15	2	0	3	0	
	2009	16	1	3	13	0.2307692	
	2009	16	2	0	1	0	
	2009	17	1	0	2	0	
	2009	17	2	0	1	0	
	2009	18	1	0	2	0	
	2010	9	1	0	2	0	
	2010	10	1	0	3	0	
	2010	10	2	0	5	0	
	2010	11	1	0	10	0	
	2010	11	2	0	6	0	
	2010	12	1	1	13	0.07692308	
	2010	12	2	0	6	0	
	2010	13	1	1	15	0.06666667	
	2010	13	2	1	7	0.1428571	
	2010	14	1	0	16	0	
	2010	14	2	0	7	0	
	2010	15	1	2	22	0.09090909	
	2010	15	2	0	3	0	
	2010	16	1	2	8	0.25	
	2010	16	2	0	1	0	
	2010	17	1	1	2	0.5	
	2010	17	2	0	2	0	
	2011	6	2	0	1	0	
	2011	8	1	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	2	0	
	2011	9	2	0	2	0	
	2011	10	1	0	4	0	
	2011	10	2	0	4	0	
	2011	11	1	0	5	0	
	2011	11	2	0	6	0	
	2011	12	1	0	10	0	
	2011	12	2	1	7	0.1428571	
	2011	13	1	3	16	0.1875	
	2011	13	2	0	4	0	
	2011	14	1	2	13	0.1538462	
	2011	14	2	0	11	0	
	2011	15	1	2	16	0.125	
	2011	15	2	0	3	0	
	2011	16	1	2	15	0.1333333	
	2011	16	2	0	3	0	
	2011	17	1	0	3	0	
	2012	7	2	0	1	0	
	2012	9	1	0	1	0	
	2012	9	2	0	2	0	
	2012	10	1	0	8	0	
	2012	10	2	0	4	0	
	2012	11	1	1	6	0.1666667	
	2012	11	2	0	3	0	
	2012	12	1	0	10	0	
	2012	12	2	0	5	0	
	2012	13	1	0	12	0	
	2012	13	2	1	5	0.2	
	2012	14	1	2	15	0.1333333	
	2012	14	2	0	5	0	
	2012	15	1	0	6	0	
	2012	15	2	0	8	0	
	2012	16	1	1	6	0.1666667	
	2012	17	1	0	3	0	
	2013	9	2	0	1	0	
	2013	10	1	0	4	0	
	2013	10	2	0	1	0	
	2013	11	1	0	2	0	
	2013	12	1	0	3	0	
	2013	12	2	2	5	0.4	
	2013	13	1	1	23	0.04347826	
	2013	13	2	0	6	0	
	2013	14	1	1	12	0.08333333	
	2013	14	2	0	4	0	
	2013	15	1	0	11	0	
	2013	15	2	0	4	0	
	2013	16	1	1	12	0.08333333	
	2013	17	1	0	2	0	
	2013	18	1	1	1	1	

